AVG_TTR,MIN_AVG_TTR,Status,
1669,1861,FREE,
1669,1861,FREE,
8402,1559,BUSY,
8402,1559,BUSY,
8402,1559,BUSY,
14886,1525,OVERLOADED,
14886,1525,OVERLOADED,
14886,1525,OVERLOADED,
1256,1324,FREE,
1256,1324,FREE,
6074,1208,BUSY,
6074,1208,BUSY,
6074,1208,BUSY,
2945,2739,FREE,
2945,2739,FREE,
4274,5113,FREE,
4274,5113,FREE,
5885,11088,OVERLOADED,
5885,11088,OVERLOADED,
5885,11088,OVERLOADED,
5756,11145,OVERLOADED,
5756,11145,OVERLOADED,
5756,11145,OVERLOADED,
11235,1271,OVERLOADED,
11235,1271,OVERLOADED,
11235,1271,OVERLOADED,
4233,7298,BUSY,
4233,7298,BUSY,
4233,7298,BUSY,
6672,1235,BUSY,
6672,1235,BUSY,
6672,1235,BUSY,
2077,3567,FREE,
2077,3567,FREE,
3440,1221,FREE,
3440,1221,FREE,
8320,3092,BUSY,
8320,3092,BUSY,
8320,3092,BUSY,
3089,4249,FREE,
3089,4249,FREE,
9873,8130,BUSY,
9873,8130,BUSY,
9873,8130,BUSY,
12761,1482,OVERLOADED,
12761,1482,OVERLOADED,
12761,1482,OVERLOADED,
2804,4016,FREE,
2804,4016,FREE,
1371,1436,FREE,
1371,1436,FREE,
8064,3722,BUSY,
8064,3722,BUSY,
2741,3258,FREE,
2373,2812,FREE,
2850,5433,FREE,
1469,1671,FREE,
10831,1712,OVERLOADED,
10831,1712,OVERLOADED,
6244,2134,BUSY,
6244,2134,BUSY,
8914,1572,BUSY,
8914,1572,BUSY,
10016,1681,OVERLOADED,
10016,1681,OVERLOADED,
1571,3836,FREE,
9732,1314,BUSY,
9732,1314,BUSY,
12925,2048,OVERLOADED,
12925,2048,OVERLOADED,
10756,10440,OVERLOADED,
10756,10440,OVERLOADED,
3951,6691,BUSY,
3951,6691,BUSY,
1840,1720,FREE,
5081,4376,FREE,
5238,9369,BUSY,
5238,9369,BUSY,
5913,15768,OVERLOADED,
5913,15768,OVERLOADED,
1659,1376,FREE,
1535,1593,FREE,
1534,1647,FREE,
1685,1586,FREE,
2076,1476,FREE,
18418,10647,OVERLOADED,
18418,10647,OVERLOADED,
2149,2347,FREE,
3451,2849,FREE,
2742,3647,FREE,
2301,2213,FREE,
1579,1354,FREE,
1521,1490,FREE,
1491,1595,FREE,
1500,1585,FREE,
1410,1548,FREE,
1442,1615,FREE,
1535,1632,FREE,
1456,1587,FREE,
1435,1605,FREE,
13779,1613,OVERLOADED,
5518,2779,FREE,
1588,1551,FREE,
1634,1333,FREE,
1599,1281,FREE,
1631,1303,FREE,
1624,1606,FREE,
1622,1512,FREE,
4502,7676,BUSY,
11715,6607,OVERLOADED,
1566,1589,FREE,
1818,1698,FREE,
1586,1307,FREE,
1576,1389,FREE,
1456,1609,FREE,
1697,1282,FREE,
1650,1329,FREE,
1644,1756,FREE,
1584,1343,FREE,
1609,1456,FREE,
3534,14164,OVERLOADED,
3534,14164,OVERLOADED,
2154,6343,BUSY,
2154,6343,BUSY,
1677,1930,FREE,
1852,1943,FREE,
1436,1628,FREE,
1592,1356,FREE,
1384,1367,FREE,
1427,1311,FREE,
3436,5036,FREE,
6467,8204,BUSY,
6467,8204,BUSY,
11537,9736,OVERLOADED,
11537,9736,OVERLOADED,
1660,1566,FREE,
7247,15594,OVERLOADED,
7247,15594,OVERLOADED,
1713,1714,FREE,
1577,1641,FREE,
7767,1693,BUSY,
7767,1693,BUSY,
2632,1380,FREE,
1567,1731,FREE,
1780,1852,FREE,
1737,1758,FREE,
1649,1689,FREE,
6279,8149,BUSY,
6279,8149,BUSY,
1580,1670,FREE,
1550,1656,FREE,
1773,1744,FREE,
5313,15005,OVERLOADED,
5313,15005,OVERLOADED,
7216,1404,BUSY,
7216,1404,BUSY,
8530,18586,OVERLOADED,
8530,18586,OVERLOADED,
1760,1581,FREE,
8166,1689,BUSY,
8166,1689,BUSY,
3283,14347,OVERLOADED,
3283,14347,OVERLOADED,
1754,1565,FREE,
2485,8583,BUSY,
2485,8583,BUSY,
3167,11872,OVERLOADED,
3167,11872,OVERLOADED,
1805,1760,FREE,
3016,8052,BUSY,
3016,8052,BUSY,
9304,12581,OVERLOADED,
9304,12581,OVERLOADED,
2388,1958,FREE,
2354,8334,BUSY,
2354,8334,BUSY,
6494,15011,OVERLOADED,
6494,15011,OVERLOADED,
1773,1700,FREE,
3034,12921,OVERLOADED,
3034,12921,OVERLOADED,
3034,12921,OVERLOADED,
9126,3469,BUSY,
9126,3469,BUSY,
3843,15040,OVERLOADED,
1690,1625,FREE,
1704,1694,FREE,
1727,1726,FREE,
1718,1621,FREE,
1877,1882,FREE,
4576,9933,BUSY,
4576,9933,BUSY,
1875,2645,FREE,
1633,1952,FREE,
2852,9966,BUSY,
2852,9966,BUSY,
1730,1945,FREE,
2993,9953,BUSY,
2993,9953,BUSY,
3078,13997,OVERLOADED,
3078,13997,OVERLOADED,
4609,13209,OVERLOADED,
4609,13209,OVERLOADED,
1679,1874,FREE,
1931,1854,FREE,
1629,1845,FREE,
9211,1878,BUSY,
9211,1878,BUSY,
2873,8448,BUSY,
2873,8448,BUSY,
2823,10241,OVERLOADED,
2823,10241,OVERLOADED,
1817,1733,FREE,
3188,9546,OVERLOADED,
3188,9546,OVERLOADED,
3606,14608,OVERLOADED,
3606,14608,OVERLOADED,
1708,1839,FREE,
2357,5119,BUSY,
2357,5119,BUSY,
2151,6506,BUSY,
2151,6506,BUSY,
1763,1757,FREE,
1637,1562,FREE,
1782,1853,FREE,
2089,1981,FREE,
1781,1731,FREE,
1568,1709,FREE,
1759,1733,FREE,
1735,1724,FREE,
1629,1512,FREE,
5579,11988,OVERLOADED,
5579,11988,OVERLOADED,
1632,1798,FREE,
4882,6990,BUSY,
4882,6990,BUSY,
3908,5317,BUSY,
3908,5317,BUSY,
1416,1575,FREE,
1428,1686,FREE,
2368,11552,OVERLOADED,
2368,11552,OVERLOADED,
3422,11005,OVERLOADED,
3422,11005,OVERLOADED,
8018,10699,OVERLOADED,
8018,10699,OVERLOADED,
1949,2764,FREE,
1607,1604,FREE,
1829,1669,FREE,
1563,1666,FREE,
6351,2515,BUSY,
6351,2515,BUSY,
5962,2361,BUSY,
5962,2361,BUSY,
1487,1602,FREE,
2065,9405,OVERLOADED,
2065,9405,OVERLOADED,
3275,9529,OVERLOADED,
3275,9529,OVERLOADED,
1443,1370,FREE,
5019,4457,BUSY,
5019,4457,BUSY,
4425,5897,BUSY,
4425,5897,BUSY,
4747,5413,BUSY,
4747,5413,BUSY,
8700,1729,BUSY,
8700,1729,BUSY,
1584,1654,FREE,
7329,1590,BUSY,
7329,1590,BUSY,
7224,1549,BUSY,
7224,1549,BUSY,
7543,1651,BUSY,
7543,1651,BUSY,
2271,5474,BUSY,
2271,5474,BUSY,
